prop,propLabel
http://www.wikidata.org/entity/P101,field of work
http://www.wikidata.org/entity/P123,publisher
http://www.wikidata.org/entity/P166,award received
http://www.wikidata.org/entity/P463,member of
http://www.wikidata.org/entity/P968,email address
http://www.wikidata.org/entity/P1142,political ideology
http://www.wikidata.org/entity/P1329,telephone number
http://www.wikidata.org/entity/P1363,points/goal scored by
http://www.wikidata.org/entity/P1387,political alignment
http://www.wikidata.org/entity/P1399,convicted of
http://www.wikidata.org/entity/P1411,nominated for
http://www.wikidata.org/entity/P1416,affiliation
http://www.wikidata.org/entity/P1613,IRC channel
http://www.wikidata.org/entity/P4092,checksum
http://www.wikidata.org/entity/P6322,vehicle identification number
http://www.wikidata.org/entity/P6375,street address
http://www.wikidata.org/entity/P6839,TV Tropes identifier
http://www.wikidata.org/entity/P6945,Steam profile ID
http://www.wikidata.org/entity/P8009,IM channel URL
http://www.wikidata.org/entity/P8115,eligible recipient
http://www.wikidata.org/entity/P8501,Gateway to Research organisation ID
http://www.wikidata.org/entity/P8527,Unsplash user ID
http://www.wikidata.org/entity/P8653,Museen Dresden article ID
http://www.wikidata.org/entity/P8659,TDD number
http://www.wikidata.org/entity/P8987,ISDS ID
http://www.wikidata.org/entity/P9493,artist files at
http://www.wikidata.org/entity/P9549,official podcast
http://www.wikidata.org/entity/P10611,has certification
http://www.wikidata.org/entity/P10624,official observer status in organisation
http://www.wikidata.org/entity/P11270,RomArchive person ID
http://www.wikidata.org/entity/P11478,Matrix room
